"orgname","codedef01","mission"
"NATIONAL QUEER THEATER ","Arts, Culture, and Humanities","The mission of National Queer Theater is to foster and support LGBTQ communities through social justice in the performing arts."
"THINKTANK THEATRE INC ","Arts, Culture, and Humanities","To create evocative intelligent family theatre high quality productions and programming for our communities through inclusion and accessibility that inspire our youths critical thinking skills creativity and curiosity"
"RIVER WEST THEATER INC ","Arts, Culture, and Humanities","Nurture minority actors, directors, playwrights, and theater artists by offering them the opportunity to participate in the best classic, contemporary, and original theater (A65 and R30)."
"BANDIT THEATER ","Arts, Culture, and Humanities","Bandit Theater is organized to create social justice oriented theater that speaks to injustice, inequalities and ills of society as a whole. The organization strives to take art to locations and communities that don't have access to live theater."
"CAMBRIDGE PLAYERS INC ","Arts, Culture, and Humanities","Our Mission is to educate individuals from all walks of life and backgrounds about the history of African Americans and to examine and tell the stories of a still marginalized population in America Theater.  Guided by the Black Hollywood Legends"
"MIMIS COMMUNITY THEATER INC ","Arts, Culture, and Humanities","The purpose of Mimis Community Theater is to create opportunities for community participation in theatrical productions focusing on inclusion and quality, giving the public a well balanced theatrical season."
"PROUD MARY THEATRE COMPANY ","Arts, Culture, and Humanities","The Proud Mary Theatre Company is devoted to presenting LGBTQ+ voices and stories through theatrical plays: compelling dramas, rib-tickling comedies, musicals, and local original works and avant-garde pieces that celebrate diversity and tolerance."
"BLACK KAT THEATRE ","Arts, Culture, and Humanities","Black Kat is an independent theatre company, Focusing primarily on original works, Black Kat looks to challenge traditional perceptions of theatre by staging shows in alternative spaces and by using humor to educate and entertain audiences."
"GORILLA THEATER PRODUCTIONS ","Arts, Culture, and Humanities","Educational Theater Company serving LGBTQ+ teens and adults, promoting diversity and inclusion through gender-fluid and racially-conscious casting and production teams"
"ONE WORLD THEATRE COMPANY ","Arts, Culture, and Humanities","1. educate both traditional and non-traditional theatre audiences as to the complexity, sophistication and relevance of black theatre 2. to provide a home for theatre artists to practice their craft under professional conditions"
"OAKLAND AFRICAN AMERICAN  PLAYHOUSE ","Arts, Culture, and Humanities","It is a cultural educational community-based theatre that seeks to produce theatrical experiences that enhance African American cultural identity by telling stories of the Black experience and create young leaders"
"AN OTHER THEATER COMPANY ","Arts, Culture, and Humanities","To create theatre productions for the purpose of expanding the variety and scope of theatre produced in Utah County, including works featuring minority artists and stories in order to increase representation, empathy, and education within the area."
"SISTERS CREATING CONTENT ","Arts, Culture, and Humanities","This corporation is organized exclusively for educational resources, and financial support for minority women in media that are creating original content."
"YORK AFRICAN AMERICAN HISTORICAL PRESERVATION SOCIETY","Arts, Culture, and Humanities","The York African American Historical Preservation Society will collect, organize and preserve information, and artifacts related to the African American presence ih York, Pa."
"LANDMARK FOR ALL GENERATIONS INC ","Arts, Culture, and Humanities","To persevere the History and Legacy of the Black Hospital through community involvement. encouraging  productive community activities."
"AFRICAN AMERICAN HERITAGE SOCIETY OF EAST PASCO COUNTY INCORPORATED","Arts, Culture, and Humanities","To promote and preserve African American life and culture in East Pasco County.  To promote African American exhibits and lecture series.  To conduct People-Lift Tours to historical sites and cultural centers."
"AFRICAN AMERICAN HISTORICAL SOCIETYOF NEWPORT NEWS","Arts, Culture, and Humanities","To research, preserve, protect, and pass on the history of African Americans in Newport News"
"IN SEARCH OF KNOWLEDGE ","Arts, Culture, and Humanities","the mission of the organization is to document black history"
"AFRO-AMERICAN HISTORY PROJECT OF WOODBURY AND VICINITY","Arts, Culture, and Humanities","4TH: (a) The purposes for which said corporation is formed are to promote the collection and dissemination of history, particularly but not limited to the history of African Americans scientific research, or educational purposes."
"THE MOUNT HOLLY BLACK HISTORY FORUMINC","Arts, Culture, and Humanities","To preserve the Black History of Mount Holly and the surrounding area, to provide educational opportunities for the community to learn from African American historical accounts, records, and artifacts, and to provide a forum for thoughtful discussion"
"IBERIA AFRICAN AMERICAN HISTORICAL SOCIETY","Arts, Culture, and Humanities","To research, disseminate, preserve, and commemorate the history of African Americans of Iberia Parish up to the end of the Civil Rights period in Iberia Parish  (1970)."
"KEATON TOWNSHIP PROJECT ","Arts, Culture, and Humanities","To educate descendants of African American residents from Keaton Township Arkansas County Arkansas of the rich legacy forged by their ancestors.To partner with others in the community to preserve and maintain cemeteries and  public structures"
"DANVILLE BOYLE COUNTY AFRICAN AMERICAN HISTORICAL SOCIETY","Arts, Culture, and Humanities","To preserve African American history and presence in Boyle County, KY, and the city of Danville To celebrate African American culture in Boyle County, KY, and the city of Danville To share the history and culture with others in the area."
"GRAND RAPIDS DIVERSITY IN ARTS ANDMUSIC FESTIVAL INC","Arts, Culture, and Humanities","Annual music festival celebrating African American arts and culture"
"GRAND RAPIDS DIVERSITY IN ARTS AND MUSIC FESTIVAL INC","Arts, Culture, and Humanities","Annual music festival celebrating African American arts and culture"
"NORTH SHORE JUNETEENTH ASSOCIATIONINC","Arts, Culture, and Humanities","The mission of The North Shore Juneteenth Association Inc. will be to share positive aspects and images of African American culture"
"THE JULIAN MAYFIELD FOUNDATION INC ","Arts, Culture, and Humanities","The Julian Mayfield Foundation will provide financial support to young black artists and writers through retreats, scholarships, book publishing and film and music production"
"ANCESTRAL MAGUEY ORGANIZATION ","Arts, Culture, and Humanities","AMO is dedicated to the preservation of ancestral agave landscapes and cultures in Mexico, through biodiversity conservation, community capacity building, and education about local traditions."
"NASHVILLE CHOOSES PEACE ","Arts, Culture, and Humanities","Nashville Chooses Peace is a yearly festival designed to bring together communities to honor the spirit of peace, inclusion, and true community."
